action,file,timestamp,runtime,lazy,blocksize,prefetch_storage
histogram_s3fs,"['hydi-tractography/hydi_tracks.10_58_0.trk']",521803579421391,84.603668516,True,33554432,"[]"
histogram_prefetch,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk']",521888296857812,34.796886597000004,True,33554432,"(('/dev/shm', 2048),)"
histogram_s3fs,"['hydi-tractography/hydi_tracks.10_58_0.trk']",521923208415376,51.460764618000006,True,33554432,"[]"
histogram_prefetch,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk']",521974784208109,34.51560391,True,33554432,"(('/dev/shm', 2048),)"
histogram_s3fs,"['hydi-tractography/hydi_tracks.10_58_0.trk']",522009421990103,45.482203302,True,33554432,"[]"
histogram_prefetch,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk']",522055001702920,34.501268961,True,33554432,"(('/dev/shm', 2048),)"
histogram_s3fs,"['hydi-tractography/hydi_tracks.10_58_0.trk']",522089588406968,43.10490294,True,33554432,"[]"
histogram_prefetch,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk']",522132810240583,34.218856668,True,33554432,"(('/dev/shm', 2048),)"
histogram_s3fs,"['hydi-tractography/hydi_tracks.10_58_0.trk']",522167150060818,42.350030976,True,33554432,"[]"
histogram_prefetch,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk']",522209618051994,34.291142452,True,33554432,"(('/dev/shm', 2048),)"
