action,file,timestamp,runtime,lazy,blocksize,prefetch_storage
read_prefetch_nib,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk']",31396900647287,43.257620921000004,False,67108864,"[('/dev/shm', 1024)]"
read_mem_nib,"['/dev/shm/hydi_tracks.10_58_0.trk']",31454634094430,13.246762814,False,0,"[]"
read_s3fs_bytes,"['hydi-tractography/hydi_tracks.10_58_0.trk']",31468409999825,12.022320654000001,False,67108864,"[]"
read_mem_bytes,"['/dev/shm/hydi_tracks.10_58_0.trk']",31492918269061,0.47650719700000005,False,0,"[]"
read_prefetch_bytes,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk']",31493970737998,15.896053938000001,False,67108864,"[('/dev/shm', 1024)]"
read_s3fs_nib,"['hydi-tractography/hydi_tracks.10_58_0.trk']",31510328688119,42.543924811000004,False,67108864,"[]"
read_prefetch_bytes,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk']",31553338809290,41.187933468000004,False,67108864,"[('/dev/shm', 1024)]"
read_s3fs_nib,"['hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk']",31595003123365,92.46625839900001,False,67108864,"[]"
read_prefetch_nib,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk']",31687931745951,87.00305741700001,False,67108864,"[('/dev/shm', 1024)]"
read_mem_nib,"['/dev/shm/hydi_tracks.10_58_0.trk', '/dev/shm/hydi_tracks.10_58_1.trk']",31794909694429,27.638407009,False,0,"[]"
read_s3fs_bytes,"['hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk']",31823181228662,24.124531835000003,False,67108864,"[]"
read_mem_bytes,"['/dev/shm/hydi_tracks.10_58_0.trk', '/dev/shm/hydi_tracks.10_58_1.trk']",31867151613579,0.9705559890000001,False,0,"[]"
read_mem_bytes,"['/dev/shm/hydi_tracks.10_58_0.trk', '/dev/shm/hydi_tracks.10_58_1.trk', '/dev/shm/hydi_tracks.10_58_2.trk']",31902761302738,1.61102119,False,0,"[]"
read_s3fs_nib,"['hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk']",31905069383313,147.45398484700002,False,67108864,"[]"
read_prefetch_nib,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk']",32052882096493,129.61958258200002,False,67108864,"[('/dev/shm', 1024)]"
read_prefetch_bytes,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk']",32182863437243,82.35601422900001,False,67108864,"[('/dev/shm', 1024)]"
read_mem_nib,"['/dev/shm/hydi_tracks.10_58_0.trk', '/dev/shm/hydi_tracks.10_58_1.trk', '/dev/shm/hydi_tracks.10_58_2.trk']",32297364538418,41.004487211000004,False,0,"[]"
read_s3fs_bytes,"['hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk']",32339081454311,40.726271265,False,67108864,"[]"
read_s3fs_bytes,"['hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk', 'hydi-tractography/hydi_tracks.10_58_3.trk']",32380171500643,52.905271174000006,False,67108864,"[]"
read_mem_bytes,"['/dev/shm/hydi_tracks.10_58_0.trk', '/dev/shm/hydi_tracks.10_58_1.trk', '/dev/shm/hydi_tracks.10_58_2.trk', '/dev/shm/hydi_tracks.10_58_3.trk']",32472273700920,1.987759926,False,0,"[]"
read_prefetch_nib,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk', 'hydi-tractography/hydi_tracks.10_58_3.trk']",32475004930289,169.10622766900002,False,67108864,"[('/dev/shm', 1024)]"
read_mem_nib,"['/dev/shm/hydi_tracks.10_58_0.trk', '/dev/shm/hydi_tracks.10_58_1.trk', '/dev/shm/hydi_tracks.10_58_2.trk', '/dev/shm/hydi_tracks.10_58_3.trk']",32683598071305,54.236253889000004,False,0,"[]"
read_s3fs_nib,"['hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk', 'hydi-tractography/hydi_tracks.10_58_3.trk']",32738565743658,175.88890471500002,False,67108864,"[]"
read_prefetch_bytes,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk', 'hydi-tractography/hydi_tracks.10_58_3.trk']",32914753646010,112.93044871400001,False,67108864,"[('/dev/shm', 1024)]"
read_prefetch_nib,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk', 'hydi-tractography/hydi_tracks.10_58_3.trk', 'hydi-tractography/hydi_tracks.10_58_4.trk']",33027985824068,216.797624742,False,67108864,"[('/dev/shm', 1024)]"
read_mem_bytes,"['/dev/shm/hydi_tracks.10_58_0.trk', '/dev/shm/hydi_tracks.10_58_1.trk', '/dev/shm/hydi_tracks.10_58_2.trk', '/dev/shm/hydi_tracks.10_58_3.trk', '/dev/shm/hydi_tracks.10_58_4.trk']",33297789862885,2.7053987630000003,False,0,"[]"
read_prefetch_bytes,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk', 'hydi-tractography/hydi_tracks.10_58_3.trk', 'hydi-tractography/hydi_tracks.10_58_4.trk']",33301304798153,188.435127926,False,67108864,"[('/dev/shm', 1024)]"
read_s3fs_nib,"['hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk', 'hydi-tractography/hydi_tracks.10_58_3.trk', 'hydi-tractography/hydi_tracks.10_58_4.trk']",33489899953638,251.01896486700002,False,67108864,"[]"
read_mem_nib,"['/dev/shm/hydi_tracks.10_58_0.trk', '/dev/shm/hydi_tracks.10_58_1.trk', '/dev/shm/hydi_tracks.10_58_2.trk', '/dev/shm/hydi_tracks.10_58_3.trk', '/dev/shm/hydi_tracks.10_58_4.trk']",33794776683042,68.857881644,False,0,"[]"
read_s3fs_bytes,"['hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk', 'hydi-tractography/hydi_tracks.10_58_3.trk', 'hydi-tractography/hydi_tracks.10_58_4.trk']",33864416118370,65.510523276,False,67108864,"[]"
read_s3fs_nib,"['hydi-tractography/hydi_tracks.10_58_0.trk']",33930173382415,43.584892254,False,67108864,"[]"
read_mem_bytes,"['/dev/shm/hydi_tracks.10_58_0.trk']",33986092265471,0.49136671600000004,False,0,"[]"
read_mem_nib,"['/dev/shm/hydi_tracks.10_58_0.trk']",33998772632184,13.475968299000002,False,0,"[]"
read_prefetch_bytes,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk']",34012602195099,16.251041084,False,67108864,"[('/dev/shm', 1024)]"
read_prefetch_nib,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk']",34029118207776,42.044714533000004,False,67108864,"[('/dev/shm', 1024)]"
read_s3fs_bytes,"['hydi-tractography/hydi_tracks.10_58_0.trk']",34071407955489,12.094103058,False,67108864,"[]"
read_mem_nib,"['/dev/shm/hydi_tracks.10_58_0.trk', '/dev/shm/hydi_tracks.10_58_1.trk']",34103104986163,27.368759072000003,False,0,"[]"
read_mem_bytes,"['/dev/shm/hydi_tracks.10_58_0.trk', '/dev/shm/hydi_tracks.10_58_1.trk']",34150995828725,1.0179247790000001,False,0,"[]"
read_prefetch_nib,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk']",34152472993023,86.65421937100001,False,67108864,"[('/dev/shm', 1024)]"
read_s3fs_nib,"['hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk']",34239317707642,85.929182505,False,67108864,"[]"
read_prefetch_bytes,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk']",34325502762122,40.04870195,False,67108864,"[('/dev/shm', 1024)]"
read_s3fs_bytes,"['hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk']",34365809811394,23.944214405,False,67108864,"[]"
read_mem_nib,"['/dev/shm/hydi_tracks.10_58_0.trk', '/dev/shm/hydi_tracks.10_58_1.trk', '/dev/shm/hydi_tracks.10_58_2.trk']",34425590408859,41.451535275000005,False,0,"[]"
read_prefetch_bytes,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk']",34467611903440,82.24657844400001,False,67108864,"[('/dev/shm', 1024)]"
read_mem_bytes,"['/dev/shm/hydi_tracks.10_58_0.trk', '/dev/shm/hydi_tracks.10_58_1.trk', '/dev/shm/hydi_tracks.10_58_2.trk']",34581797304554,1.67017901,False,0,"[]"
read_s3fs_bytes,"['hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk']",34584053960960,40.452202064000005,False,67108864,"[]"
read_s3fs_nib,"['hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk']",34624762940741,137.17043966600002,False,67108864,"[]"
read_prefetch_nib,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk']",34762180546207,129.793494435,False,67108864,"[('/dev/shm', 1024)]"
read_mem_nib,"['/dev/shm/hydi_tracks.10_58_0.trk', '/dev/shm/hydi_tracks.10_58_1.trk', '/dev/shm/hydi_tracks.10_58_2.trk', '/dev/shm/hydi_tracks.10_58_3.trk']",34931220195703,54.605671481,False,0,"[]"
read_s3fs_bytes,"['hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk', 'hydi-tractography/hydi_tracks.10_58_3.trk']",34986470562811,51.586089235,False,67108864,"[]"
read_prefetch_bytes,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk', 'hydi-tractography/hydi_tracks.10_58_3.trk']",35038333170737,113.197168254,False,67108864,"[('/dev/shm', 1024)]"
read_s3fs_nib,"['hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk', 'hydi-tractography/hydi_tracks.10_58_3.trk']",35151785496593,177.493774449,False,67108864,"[]"
read_prefetch_nib,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk', 'hydi-tractography/hydi_tracks.10_58_3.trk']",35329522105311,168.67417953900002,False,67108864,"[('/dev/shm', 1024)]"
read_mem_bytes,"['/dev/shm/hydi_tracks.10_58_0.trk', '/dev/shm/hydi_tracks.10_58_1.trk', '/dev/shm/hydi_tracks.10_58_2.trk', '/dev/shm/hydi_tracks.10_58_3.trk']",35537230200451,1.9723379470000002,False,0,"[]"
read_prefetch_nib,"['vhs-bucket/hydi-header.trk', 'hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk', 'hydi-tractography/hydi_tracks.10_58_3.trk', 'hydi-tractography/hydi_tracks.10_58_4.trk']",35539866892498,216.943819404,False,67108864,"[('/dev/shm', 1024)]"
read_s3fs_nib,"['hydi-tractography/hydi_tracks.10_58_0.trk', 'hydi-tractography/hydi_tracks.10_58_1.trk', 'hydi-tractography/hydi_tracks.10_58_2.trk', 'hydi-tractography/hydi_tracks.10_58_3.trk', 'hydi-tractography/hydi_tracks.10_58_4.trk']",35757058837519,243.46685955400002,False,67108864,"[]"
read_mem_bytes,"['/dev/shm/hydi_tracks.10_58_0.trk', '/dev/shm/hydi_tracks.10_58_1.trk', '/dev/shm/hydi_tracks.10_58_2.trk', '/dev/shm/hydi_tracks.10_58_3.trk', '/dev/shm/hydi_tracks.10_58_4.trk']",36053718132819,2.6637994910000002,False,0,"[]"
read_mem_nib,"['/dev/shm/hydi_tracks.10_58_0.trk', '/dev/shm/hydi_tracks.10_58_1.trk', '/dev/shm/hydi_tracks.10_58_2.trk', '/dev/shm/hydi_tracks.10_58_3.trk', '/dev/shm/hydi_tracks.10_58_4.trk']",36111143340032,69.227516803,False,0,"[]"
