action,file,timestamp,runtime,lazy,blocksize,prefetch_storage
read_trk,"<File-like object S3PrefetchFileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",375749166325614,61.57384011800001,False,0,"[]"
read_prefetched,hydi-tractography/hydi_tracks.12_58_7.trk,375748604088744,62.138864259,False,67108864,"[('/dev/shm', 5242880)]"
read_trk,"<_io.BufferedReader name='/dev/shm/hydi_tracks.12_58_7.trk'>",375811004100484,16.189377109000002,False,0,"[]"
read_mem,/dev/shm/hydi_tracks.12_58_7.trk,375810743039672,16.451461407,False,0,"[]"
read_trk,"<File-like object S3FileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",375827502197054,94.63892990400001,False,0,"[]"
read_s3fs,hydi-tractography/hydi_tracks.12_58_7.trk,375827194571058,94.948266934,False,67108864,"[]"
read_trk,"<_io.BufferedReader name='/dev/shm/hydi_tracks.12_58_7.trk'>",375922416231219,16.386730201000002,False,0,"[]"
read_mem,/dev/shm/hydi_tracks.12_58_7.trk,375922142943516,16.661139984000002,False,0,"[]"
read_trk,"<File-like object S3FileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",375939111326350,75.54731519100001,False,0,"[]"
read_s3fs,hydi-tractography/hydi_tracks.12_58_7.trk,375938804162739,75.85621902700001,False,67108864,"[]"
read_trk,"<File-like object S3PrefetchFileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",376015004803296,53.632582529000004,False,0,"[]"
read_prefetched,hydi-tractography/hydi_tracks.12_58_7.trk,376014660469599,53.978672460000006,False,67108864,"[('/dev/shm', 5242880)]"
read_trk,"<File-like object S3PrefetchFileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",376069018200011,51.889272661,False,0,"[]"
read_prefetched,hydi-tractography/hydi_tracks.12_58_7.trk,376068639257280,52.270259120000006,False,67108864,"[('/dev/shm', 5242880)]"
read_trk,"<File-like object S3FileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",376121190108343,64.204033936,False,0,"[]"
read_s3fs,hydi-tractography/hydi_tracks.12_58_7.trk,376120909602944,64.487004415,False,67108864,"[]"
read_trk,"<_io.BufferedReader name='/dev/shm/hydi_tracks.12_58_7.trk'>",376185701926359,16.040386762,False,0,"[]"
read_mem,/dev/shm/hydi_tracks.12_58_7.trk,376185396686219,16.347621199000002,False,0,"[]"
read_trk,"<File-like object S3PrefetchFileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",376202121350342,52.048693319,False,0,"[]"
read_prefetched,hydi-tractography/hydi_tracks.12_58_7.trk,376201744413949,52.426729895,False,67108864,"[('/dev/shm', 5242880)]"
read_trk,"<_io.BufferedReader name='/dev/shm/hydi_tracks.12_58_7.trk'>",376254500544528,16.373826343,False,0,"[]"
read_mem,/dev/shm/hydi_tracks.12_58_7.trk,376254171245849,16.704203947,False,0,"[]"
read_trk,"<File-like object S3FileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",376271172486512,61.225350067,False,0,"[]"
read_s3fs,hydi-tractography/hydi_tracks.12_58_7.trk,376270875526150,61.52379165000001,False,67108864,"[]"
read_trk,"<File-like object S3FileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",376332704403529,72.66747020700001,False,0,"[]"
read_s3fs,hydi-tractography/hydi_tracks.12_58_7.trk,376332399434008,72.97399478,False,67108864,"[]"
read_trk,"<_io.BufferedReader name='/dev/shm/hydi_tracks.12_58_7.trk'>",376405702827386,16.178531972000002,False,0,"[]"
read_mem,/dev/shm/hydi_tracks.12_58_7.trk,376405373512705,16.509774171,False,0,"[]"
read_trk,"<File-like object S3PrefetchFileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",376422270933648,52.680798958000004,False,0,"[]"
read_prefetched,hydi-tractography/hydi_tracks.12_58_7.trk,376421883359351,53.069891751,False,67108864,"[('/dev/shm', 5242880)]"
read_trk,"<File-like object S3FileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",376475294084022,61.295818213000004,False,0,"[]"
read_s3fs,hydi-tractography/hydi_tracks.12_58_7.trk,376474953367303,61.638316598,False,67108864,"[]"
read_trk,"<File-like object S3PrefetchFileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",376536949093012,52.290139228,False,0,"[]"
read_prefetched,hydi-tractography/hydi_tracks.12_58_7.trk,376536591765331,52.648966708,False,67108864,"[('/dev/shm', 5242880)]"
read_trk,"<_io.BufferedReader name='/dev/shm/hydi_tracks.12_58_7.trk'>",376589551312228,16.11448438,False,0,"[]"
read_mem,/dev/shm/hydi_tracks.12_58_7.trk,376589240821303,16.426435136000002,False,0,"[]"
read_trk,"<_io.BufferedReader name='/dev/shm/hydi_tracks.12_58_7.trk'>",376605973388597,16.354542708,False,0,"[]"
read_mem,/dev/shm/hydi_tracks.12_58_7.trk,376605667364531,16.661523783,False,0,"[]"
read_trk,"<File-like object S3PrefetchFileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",376622738064118,52.759188077000005,False,0,"[]"
read_prefetched,hydi-tractography/hydi_tracks.12_58_7.trk,376622328962093,53.169374180000005,False,67108864,"[('/dev/shm', 5242880)]"
read_trk,"<File-like object S3FileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",376675843058110,61.783720925000004,False,0,"[]"
read_s3fs,hydi-tractography/hydi_tracks.12_58_7.trk,376675498418683,62.130000358000004,False,67108864,"[]"
read_trk,"<_io.BufferedReader name='/dev/shm/hydi_tracks.12_58_7.trk'>",376737936072559,16.328394652,False,0,"[]"
read_mem,/dev/shm/hydi_tracks.12_58_7.trk,376737628534175,16.637108094000002,False,0,"[]"
read_trk,"<File-like object S3FileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",376754627640013,63.015497106000005,False,0,"[]"
read_s3fs,hydi-tractography/hydi_tracks.12_58_7.trk,376754265715766,63.37951494400001,False,67108864,"[]"
read_trk,"<File-like object S3PrefetchFileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",376817998989326,51.969887784,False,0,"[]"
read_prefetched,hydi-tractography/hydi_tracks.12_58_7.trk,376817645320756,52.325403464000004,False,67108864,"[('/dev/shm', 5242880)]"
read_trk,"<_io.BufferedReader name='/dev/shm/hydi_tracks.12_58_7.trk'>",376870272901469,16.031073853000002,False,0,"[]"
read_mem,/dev/shm/hydi_tracks.12_58_7.trk,376869970842828,16.334615865,False,0,"[]"
read_trk,"<File-like object S3FileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",376886650144293,59.725698934,False,0,"[]"
read_s3fs,hydi-tractography/hydi_tracks.12_58_7.trk,376886305530731,60.07220885700001,False,67108864,"[]"
read_trk,"<File-like object S3PrefetchFileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",376946733179674,52.720791233,False,0,"[]"
read_prefetched,hydi-tractography/hydi_tracks.12_58_7.trk,376946377828187,53.077612665000004,False,67108864,"[('/dev/shm', 5242880)]"
read_trk,"<File-like object S3PrefetchFileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",376999820443776,52.424631517,False,0,"[]"
read_prefetched,hydi-tractography/hydi_tracks.12_58_7.trk,376999455549767,52.790633535000005,False,67108864,"[('/dev/shm', 5242880)]"
read_trk,"<File-like object S3FileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",377052582253137,61.252356875000004,False,0,"[]"
read_s3fs,hydi-tractography/hydi_tracks.12_58_7.trk,377052246268387,61.590094343000004,False,67108864,"[]"
read_trk,"<_io.BufferedReader name='/dev/shm/hydi_tracks.12_58_7.trk'>",377114163922430,16.148857635000002,False,0,"[]"
read_mem,/dev/shm/hydi_tracks.12_58_7.trk,377113836446948,16.477414888000002,False,0,"[]"
read_trk,"<_io.BufferedReader name='/dev/shm/hydi_tracks.12_58_7.trk'>",377130552964413,16.146813918,False,0,"[]"
read_mem,/dev/shm/hydi_tracks.12_58_7.trk,377130313964548,16.386841433,False,0,"[]"
read_trk,"<File-like object S3FileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",377147044590800,71.123672087,False,0,"[]"
read_s3fs,hydi-tractography/hydi_tracks.12_58_7.trk,377146700880962,71.46905520300001,False,67108864,"[]"
read_trk,"<File-like object S3PrefetchFileSystem, hydi-tractography/hydi_tracks.12_58_7.trk>",377218549037405,53.695661346,False,0,"[]"
read_prefetched,hydi-tractography/hydi_tracks.12_58_7.trk,377218170024481,54.075969594,False,67108864,"[('/dev/shm', 5242880)]"
read_trk,"<_io.BufferedReader name='/dev/shm/hydi_tracks.12_58_7.trk'>",377272548644478,16.344400514,False,0,"[]"
read_mem,/dev/shm/hydi_tracks.12_58_7.trk,377272246141497,16.648845315000003,False,0,"[]"
